
TimeEdit,Göteborgs universitet
"TIG016, Verksamheter och information, DAG, H18, ORD, NML, GÖTEBORG",2018-11-05 - 2019-01-31,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2018-11-07,10:00,2018-11-07,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Introduktion,,,,,
2018-11-09,10:00,2018-11-09,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Föreläsning,,,,,
2018-11-12,10:00,2018-11-12,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Föreläsning,,,,,
2018-11-14,10:00,2018-11-14,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Föreläsning,,,,,
2018-11-14,13:00,2018-11-14,15:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Workshop,,,,,
2018-11-15,10:00,2018-11-15,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Föreläsning,,,,,
2018-11-19,10:00,2018-11-19,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),,Föreläsning,Lasse Malmberg,,,,
2018-11-21,10:00,2018-11-21,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),,Föreläsning,Jonas Flodén,,,,
2018-11-23,10:00,2018-11-23,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Föreläsning,,,,,
2018-11-26,09:00,2018-11-26,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Grace Hopper (323A),Urban Nuldén,Handledning,,,,,
2018-11-26,13:00,2018-11-26,17:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,USB (433),Urban Nuldén,Handledning,,,,,
2018-11-28,09:00,2018-11-28,17:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,USB (433),Urban Nuldén,Handledning,,,,,
2018-12-03,10:00,2018-12-03,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Föreläsning,,,,,
2018-12-05,10:00,2018-12-05,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Föreläsning,,,,,
2018-12-05,13:00,2018-12-05,15:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Workshop,,,,,
2018-12-07,10:00,2018-12-07,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Urban Nuldén,Föreläsning,Inför tenta,,,,
2018-12-10,09:00,2018-12-10,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Grace Hopper (323A),Urban Nuldén,Handledning,,,,,
2018-12-10,13:00,2018-12-10,17:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,USB (433),Urban Nuldén,Handledning,,,,,
2018-12-11,09:00,2018-12-11,17:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,USB (433),Urban Nuldén,Handledning,,,,,
2018-12-12,10:00,2018-12-12,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Kjell Engberg,Föreläsning,,,,,
2018-12-14,10:00,2018-12-14,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Kjell Engberg,Föreläsning,,,,,
2018-12-17,10:00,2018-12-17,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Torg Grön (405),Maria Bolin,Föreläsning,,,,,
2018-12-20,09:00,2018-12-20,17:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,USB (433),Urban Nuldén,Handledning,,,,,
2018-12-21,09:00,2018-12-21,17:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,USB (433),Urban Nuldén,Handledning,,,,,
2018-12-24,00:00,2018-12-25,00:00,Julafton,,,,,,,,,,
2018-12-25,00:00,2018-12-26,00:00,Juldagen,,,,,,,,,,
2018-12-26,00:00,2018-12-27,00:00,Annandag jul,,,,,,,,,,
2018-12-31,00:00,2019-01-01,00:00,Nyårsafton,,,,,,,,,,
2019-01-01,00:00,2019-01-02,00:00,Nyårsdagen,,,,,,,,,,
2019-01-06,00:00,2019-01-07,00:00,Trettondedag jul,,,,,,,,,,
2019-01-07,11:45,2019-01-07,12:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,,,"Anmälan, Tentamen",Påminnelse,Sista anmälningsdag till tentan!,,,
2019-01-14,09:00,2019-01-14,17:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Thanos (481),Urban Nuldén,"Examination, Seminarium",,,,,
2019-01-15,09:00,2019-01-15,17:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,Thanos (481),Urban Nuldén,"Examination, Seminarium",,,,,
2019-01-17,14:00,2019-01-17,18:00,TIG016. Verksamheter och information,Systemvetenskap år 1,,,Urban Nuldén,Tentamen,Salstentamen,Salstentamen anmälan krävs,,,
